store,state,time,fulltime,hours,register
231,1,0,,16,2
236,1,0,21,17,4
254,1,0,28,16,2
255,1,0,10,14,2
294,1,0,20.5,16,3
306,1,0,25.5,17,4
311,1,0,19,11.5,2
315,1,0,16.5,16,3
335,1,0,17,17,5
372,1,0,27.5,19,4
6,1,0,5,7,4
14,1,0,16,11,6
26,1,0,41.5,16,4
27,1,0,13,10,4
30,1,0,10,10,2
31,1,0,15,11,4
33,1,0,26,17,5
36,1,0,18,13,2
77,1,0,35,19,6
78,1,0,21,17,4
81,1,0,34.5,12,2
82,1,0,18.25,13.5,2
83,1,0,24.5,13.5,2
85,1,0,20,12.5,5
89,1,0,16,16,3
94,1,0,17.5,10,
103,1,0,20.5,11.5,2
112,1,0,20,14,2
128,1,0,12.25,11,4
129,1,0,33,16,6
131,1,0,31.5,17,5
139,1,0,,12.5,2
143,1,0,18,11.5,2
144,1,0,28,12.5,2
145,1,0,16.5,16,3
147,1,0,14.75,14,2
148,1,0,23.5,17,3
151,1,0,10,15,3
152,1,0,46.5,15,3
157,1,0,15.5,12,3
161,1,0,24.5,17,7
163,1,0,24,16.5,3
164,1,0,23,19,5
165,1,0,28,12.5,3
169,1,0,32.5,16,3
170,1,0,23,16,3
187,1,0,17,15,4
190,1,0,30,16,5
196,1,0,21.5,11.5,2
197,1,0,32,17,3
234,1,0,8,16,2
240,1,0,35.5,17,6
241,1,0,31.5,16,5
242,1,0,33,17,5
245,1,0,22,13.5,4
259,1,0,23,14.5,3
268,1,0,23,15,5
271,1,0,8.5,11,4
272,1,0,12.5,11,4
274,1,0,9.5,10,4
276,1,0,13,10.5,4
296,1,0,17,16,3
299,1,0,9,11.5,3
301,1,0,19,10.5,3
320,1,0,11.5,12,4
321,1,0,13,12.5,4
324,1,0,48,24,5
326,1,0,45.5,24,4
330,1,0,15,15.5,2
334,1,0,18,12.5,3
349,1,0,21,16,3
354,1,0,20.5,10.5,2
356,1,0,20.5,11.5,2
357,1,0,17.5,11.5,2
371,1,0,27.5,16,3
373,1,0,24,15.5,6
375,1,0,34,15,4
378,1,0,18,18.5,5
381,1,0,24,16.5,4
403,1,0,,18,5
406,1,0,33.5,11.5,2
407,1,0,12,10.5,1
409,1,0,35,15,3
1,1,0,35,16,4
2,1,0,16,14,2
3,1,0,15.5,10,5
4,1,0,19,12.5,8
5,1,0,24,17,5
8,1,0,,12,2
9,1,0,36,16,4
10,1,0,29,16,3
11,1,0,29,16,3
12,1,0,21.25,16,3
13,1,0,15.5,10,5
15,1,0,19.5,17,5
16,1,0,21,17,5
17,1,0,14,17,6
18,1,0,30.5,17,4
19,1,0,23.5,16,3
21,1,0,14,10.5,3
22,1,0,14.5,16,4
23,1,0,15.5,16,3
24,1,0,26.5,16,4
28,1,0,8,10,2
29,1,0,5.5,11,3
32,1,0,23.25,11.5,4
34,1,0,15.5,11.5,5
35,1,0,32.25,11.5,2
38,1,0,30,17,3
63,1,0,,18,4
64,1,0,30.5,16,3
65,1,0,14,15.5,3
66,1,0,27,17,3
67,1,0,18.5,13.5,3
68,1,0,38,17,3
69,1,0,16.5,18,4
70,1,0,50,16,3
71,1,0,20.5,17,3
73,1,0,6.5,12,3
75,1,0,13.5,11,3
76,1,0,28,17,6
79,1,0,21.5,17,5
80,1,0,,11.5,2
84,1,0,24,16,4
86,1,0,20.5,15,3
87,1,0,,15,3
88,1,0,23.5,15,5
91,1,0,23,17,3
92,1,0,17,15,3
93,1,0,20.5,16,
95,1,0,23.5,10,4
96,1,0,9.5,10,3
97,1,0,10,10,3
98,1,0,14,10,3
99,1,0,85,24,8
101,1,0,15,15,6
102,1,0,21.5,16,6
104,1,0,53,11.5,2
105,1,0,24,16.5,4
106,1,0,20.5,16,2
107,1,0,14.5,14.5,3
108,1,0,25,17,3
111,1,0,27,16,5
114,1,0,22.5,16,3
115,1,0,36.5,17,4
116,1,0,17.25,13,7
118,1,0,21.5,15,4
119,1,0,24.5,16.5,3
120,1,0,19,16,3
122,1,0,25,12.5,5
124,1,0,16,15,2
125,1,0,19,12.5,3
130,1,0,22.75,18,4
132,1,0,35,24,5
133,1,0,16,17,4
134,1,0,21,16,4
136,1,0,26.75,17,5
137,1,0,30.5,16,6
140,1,0,23,11.5,2
141,1,0,21.5,12.5,2
142,1,0,36.5,11.5,2
146,1,0,23,16,4
149,1,0,14,16,2
150,1,0,17.25,16,3
156,1,0,18.5,15,8
158,1,0,8.5,10,3
159,1,0,14,10.5,3
162,1,0,23,16.5,
166,1,0,29,11.5,2
168,1,0,19,15,3
171,1,0,21,16,3
172,1,0,17,12.5,5
173,1,0,36,17.5,4
174,1,0,25,16,4
176,1,0,29.5,16,4
178,1,0,22,10,3
179,1,0,11,10.5,3
180,1,0,13.5,11,4
182,1,0,13.5,11,4
183,1,0,18,11,4
185,1,0,9.5,10.5,4
186,1,0,24,16,5
189,1,0,14.5,15,4
192,1,0,29,12,2
193,1,0,10.5,11,2
195,1,0,18,11.5,2
198,1,0,,16,3
199,1,0,9,10,4
200,1,0,33,18,4
201,1,0,19.5,17,3
202,1,0,41,19,3
203,1,0,17,17,3
204,1,0,18.25,17.5,3
207,1,0,17,12,4
208,1,0,32,17,4
209,1,0,26,18,5
210,1,0,11.5,11.5,4
211,1,0,21,15,3
212,1,0,22.75,16,3
213,1,0,18.5,17.5,4
214,1,0,20,16,2
215,1,0,18,16,3
216,1,0,10.5,10.5,4
217,1,0,10.5,10,4
218,1,0,11,10,3
219,1,0,10.5,10,4
220,1,0,12.5,10,5
221,1,0,18,11,4
222,1,0,17,12.5,3
223,1,0,15,16,3
225,1,0,19.5,17,6
226,1,0,13,11.5,2
228,1,0,20.25,12.5,2
229,1,0,26,13.5,5
230,1,0,15.5,17,3
232,1,0,24,16,3
233,1,0,25.5,16,2
235,1,0,14.5,16,3
237,1,0,21.5,16,2
238,1,0,14,12,5
239,1,0,20,13.5,5
243,1,0,22.5,16.5,6
244,1,0,30,18,4
247,1,0,24,15.5,2
248,1,0,22,16,2
249,1,0,13,15,3
250,1,0,5,10,4
253,1,0,13.5,13,2
257,1,0,28,16,2
258,1,0,18,16,3
260,1,0,24,16,4
262,1,0,16.5,16.5,4
264,1,0,7,15,2
265,1,0,11,16,3
267,1,0,19.5,16,3
269,1,0,10,10,4
273,1,0,13,10,4
275,1,0,10,11,4
277,1,0,12.5,10,3
278,1,0,8,10,4
282,1,0,12,16,4
284,1,0,20.5,16,5
285,1,0,18.5,16,4
286,1,0,11.5,11.5,2
287,1,0,15,16,5
288,1,0,13,16,6
289,1,0,10,16,5
290,1,0,17,12.5,2
291,1,0,17,11.5,2
292,1,0,20.5,16,2
295,1,0,15.5,16.5,3
297,1,0,19.5,16,3
303,1,0,30.5,17,6
304,1,0,23,17,5
305,1,0,13,17,5
307,1,0,30.25,18,5
310,1,0,18,11.5,2
312,1,0,10,11,3
313,1,0,19.5,15,3
314,1,0,17,15,3
316,1,0,25.5,16,3
317,1,0,6,12,3
318,1,0,11.5,12,3
319,1,0,8.5,12.5,
322,1,0,18.5,16,6
325,1,0,15.5,15,6
333,1,0,14.25,15,4
336,1,0,38,15,3
337,1,0,24.75,17,4
339,1,0,23,16,3
340,1,0,24,14.5,5
341,1,0,7.5,9.5,3
343,1,0,15,10.5,4
346,1,0,9.25,10,4
348,1,0,11.25,10.5,3
350,1,0,16.5,16,5
351,1,0,18.75,16,4
352,1,0,13.5,11.5,2
353,1,0,21.75,16,5
355,1,0,13.5,11.5,2
359,1,0,15,15,3
360,1,0,17.5,15,3
361,1,0,17.5,16,3
362,1,0,,12.5,5
363,1,0,15.5,12.5,4
364,1,0,16.5,12,4
366,1,0,13.5,11.5,5
368,1,0,13,12.5,2
369,1,0,11.5,15,3
370,1,0,29.05,16,3
376,1,0,13,14,8
377,1,0,18,14,3
379,1,0,30,16,3
380,1,0,20.5,16,3
383,1,0,10,16,2
384,1,0,,16,3
385,1,0,26,17,3
386,1,0,12.5,17,3
391,1,0,19.5,10,3
393,1,0,12,11,3
396,1,0,36,17,5
397,1,0,21,17,4
398,1,0,24.5,17,5
399,1,0,20,17,7
400,1,0,26.5,17,5
401,1,0,15,16,6
402,1,0,19,16,4
405,1,0,17.5,17,7
410,1,0,20.5,16,4
411,1,0,21,16,5
412,1,0,10.5,11,5
413,1,0,23,17,4
414,1,0,23,16,4
415,1,0,29,16,5
417,1,0,21,16,4
418,1,0,41.5,15,4
419,1,0,12,11,4
421,1,0,33,13,4
422,1,0,6.5,11,4
423,1,0,9,12,3
424,1,0,9.75,11,5
426,1,0,24.5,19,5
427,1,0,14,12.5,2
428,1,0,19.5,12.5,2
46,0,1,24,16.5,4
49,0,1,11.5,13,4
506,0,1,10.5,11,4
56,0,1,20,12,2
61,0,1,35.5,12,2
62,0,1,,12,3
445,0,1,29,18,3
451,0,1,36.5,24,6
455,0,1,11,11,4
458,0,1,8.5,10.5,4
462,0,1,17.5,12,6
468,0,1,29,18,4
469,0,1,30.5,18,3
470,0,1,26,18,3
474,0,1,18,13,3
481,0,1,20,11,3
483,0,1,13.5,11,4
487,0,1,19,11,6
488,0,1,15.5,15,5
489,0,1,14.5,11.5,6
490,0,1,14,16,5
493,0,1,19,16,3
495,0,1,21,16,5
496,0,1,18,16,
499,0,1,20.5,12,2
509,0,1,13.5,15.5,3
515,0,1,17.5,16,5
37,0,1,25.5,16.5,6
39,0,1,15.5,16.5,4
40,0,1,25.5,17.5,3
41,0,1,27,17.5,3
42,0,1,16,16.5,3
45,0,1,19,17.5,3
47,0,1,24.5,18,3
48,0,1,25,14,4
50,0,1,17,13,4
51,0,1,16.5,13,5
57,0,1,20,12,2
58,0,1,18,12,2
59,0,1,12,10.5,2
60,0,1,25,12,2
408,0,1,11,11,4
430,0,1,27,16,3
432,0,1,34,16,3
433,0,1,25,16,3
434,0,1,37.5,16,3
435,0,1,21,15.5,3
438,0,1,9.5,9,2
440,0,1,18,11.5,2
441,0,1,18,11.5,2
443,0,1,19,11.5,2
444,0,1,31.5,11.5,2
446,0,1,23,18,4
448,0,1,24.5,18,3
449,0,1,27.5,18,3
450,0,1,34.5,18,3
454,0,1,14,11,4
459,0,1,15,15,4
466,0,1,23,11.5,2
471,0,1,26.5,18,3
472,0,1,23.5,17,3
473,0,1,35.5,17,3
475,0,1,21,15,3
476,0,1,23,18,3
477,0,1,20,17,3
478,0,1,27,18,3
485,0,1,13,11,4
491,0,1,0,,
492,0,1,13.5,12.5,2
497,0,1,,12,2
498,0,1,26.75,12,2
501,0,1,43.5,18,3
503,0,1,41.25,18,3
510,0,1,14.25,15,5
511,0,1,12.5,15,6
514,0,1,34,16,6
516,0,1,10,14,5
521,0,1,14,16,4
522,0,1,17.5,16,3
113,1,1,27,16,3
123,1,1,21.5,14,3
135,1,1,23,11.5,5
138,1,1,21.5,11.5,6
153,1,1,34.5,17,3
181,1,1,10.5,11,3
191,1,1,16.5,12,2
231,1,1,23,16,3
236,1,1,38,18,4
254,1,1,36,15,2
255,1,1,16,14,2
294,1,1,20.5,16,3
306,1,1,19,18,
311,1,1,53,11.5,2
315,1,1,16.5,16,3
335,1,1,16.5,17,5
372,1,1,45,18.5,4
6,1,1,8,8,4
14,1,1,15.5,11,6
26,1,1,24,16,5
27,1,1,7.5,10,4
30,1,1,7.5,10,2
31,1,1,18.5,12.5,4
33,1,1,16.5,17,4
36,1,1,33.5,12.5,2
77,1,1,37,19,6
78,1,1,18,16,5
81,1,1,26.5,11.5,2
82,1,1,33,13.5,2
83,1,1,,14,2
85,1,1,20.5,12.5,5
89,1,1,24.5,16,3
94,1,1,16,10,3
103,1,1,,12.5,2
112,1,1,23.5,12.5,
128,1,1,13,11,3
129,1,1,20,16,4
131,1,1,22,15,5
139,1,1,28.5,12,
143,1,1,,,
144,1,1,25.5,12.5,2
145,1,1,18,16,3
147,1,1,9,14,2
148,1,1,26.5,17,3
151,1,1,0,,
152,1,1,23.75,15,3
157,1,1,18,11,2
161,1,1,36,17,7
163,1,1,21,15,
164,1,1,15.5,17,5
165,1,1,22.5,12.5,2
169,1,1,27,16,3
170,1,1,34,16,4
187,1,1,16.75,15,4
190,1,1,26,15,5
196,1,1,18,12.5,2
197,1,1,20.5,17,3
234,1,1,15,16,3
240,1,1,25.5,17,6
241,1,1,,16,5
242,1,1,20,16,6
245,1,1,18,13,5
259,1,1,26.5,14.5,3
268,1,1,23.25,15,4
271,1,1,10.5,12,4
272,1,1,12,12,4
274,1,1,9.5,11,
276,1,1,15.5,12,5
296,1,1,14.5,16,3
299,1,1,14,11.5,3
301,1,1,6.5,10.5,3
320,1,1,10,11,4
321,1,1,11.5,12,4
324,1,1,46.5,24,5
326,1,1,26.5,24,4
330,1,1,16,14.5,2
334,1,1,13,12.5,3
349,1,1,14,15,3
354,1,1,15.5,10.5,2
356,1,1,18,11.5,2
357,1,1,27,12.5,2
371,1,1,27,16,4
373,1,1,29.5,15.5,6
375,1,1,16.5,15,3
378,1,1,31.5,19,6
381,1,1,27.5,16.5,4
403,1,1,25.5,16,4
406,1,1,32,12.5,2
407,1,1,14.5,10.5,1
409,1,1,10.5,15,3
1,1,1,44,16,4
2,1,1,15.5,15,2
3,1,1,10.5,11,5
4,1,1,24,13.5,6
5,1,1,29,17,5
8,1,1,30.5,13,2
9,1,1,20,16,4
10,1,1,26.5,16,3
11,1,1,27,16,3
12,1,1,26.5,16,3
13,1,1,10.5,11,4
15,1,1,18,17,3
16,1,1,18.5,17,5
17,1,1,25.5,17,6
18,1,1,32,17,7
19,1,1,33,16,2
21,1,1,7.5,10,3
22,1,1,12.5,15,4
23,1,1,24,16.5,3
24,1,1,29,,4
28,1,1,10,10,3
29,1,1,9.5,11,3
32,1,1,17.5,11.5,4
34,1,1,17.5,11.5,5
35,1,1,25,11.5,2
38,1,1,26,17.5,3
63,1,1,24,18,4
64,1,1,22.5,16,3
65,1,1,,,
66,1,1,35,17,3
67,1,1,17.75,13.5,3
68,1,1,24.5,17,3
69,1,1,16.5,18,4
70,1,1,30,16,3
71,1,1,39,17,3
73,1,1,17,11,3
75,1,1,12.5,11,3
76,1,1,38.5,16.5,6
79,1,1,20,16,5
80,1,1,21,12.5,2
84,1,1,32,16,3
86,1,1,19,15,3
87,1,1,20,15,3
88,1,1,26.5,15,5
91,1,1,19,17,3
92,1,1,20,15,3
93,1,1,22.5,16,4
95,1,1,10,10,3
96,1,1,12.5,10.5,4
97,1,1,11,10,3
98,1,1,12.5,10,3
99,1,1,59,24,5
101,1,1,19,15,8
102,1,1,15.5,15,5
104,1,1,19,12.5,2
105,1,1,26.5,16.5,4
106,1,1,17.5,16,2
107,1,1,20.5,14,4
108,1,1,28,17,3
111,1,1,30.25,16,5
114,1,1,44,16.5,3
115,1,1,17.5,17,4
116,1,1,31,13,8
118,1,1,31,15,4
119,1,1,28.5,17.5,3
120,1,1,19,16,3
122,1,1,41,12.5,6
124,1,1,28,15,2
125,1,1,9.5,12,4
130,1,1,25,16,5
132,1,1,28,14,2
133,1,1,16,15,5
134,1,1,22.75,16,4
136,1,1,,16,
137,1,1,32,15,5
140,1,1,27.5,11.5,2
141,1,1,25.5,12.5,2
142,1,1,60.5,11.5,2
146,1,1,20.5,16,4
149,1,1,16,16,2
150,1,1,25,15,3
156,1,1,13,15,3
158,1,1,9,11.5,3
159,1,1,16.5,11.5,4
162,1,1,21,15.5,6
166,1,1,21.5,12.5,2
168,1,1,20,16,3
171,1,1,21.25,16,3
172,1,1,21.5,13,6
173,1,1,31,18,4
174,1,1,33,16,3
176,1,1,37.75,16,
178,1,1,9,10.5,3
179,1,1,11,11,3
180,1,1,12.75,12,4
182,1,1,10.5,10,4
183,1,1,22,10.5,4
185,1,1,8,10.5,3
186,1,1,25,16,5
189,1,1,12.5,15,5
192,1,1,22.5,12.5,2
193,1,1,11.5,13,2
195,1,1,23.5,12.5,2
198,1,1,30,16,3
199,1,1,16.5,10.5,4
200,1,1,29,17.5,5
201,1,1,30,17,3
202,1,1,22.5,19,3
203,1,1,24,17,3
204,1,1,21.75,17.5,3
207,1,1,13.5,12,5
208,1,1,24,14,5
209,1,1,28.5,16,5
210,1,1,10,11,4
211,1,1,23.5,15,3
212,1,1,30.5,16,2
213,1,1,24.75,17.5,4
214,1,1,22.5,16.25,3
215,1,1,28,16,3
216,1,1,14,10.5,5
217,1,1,9,10.5,4
218,1,1,9.5,11,3
219,1,1,15.5,10.5,
220,1,1,12,10,4
221,1,1,11.5,11,4
222,1,1,12.5,11.5,3
223,1,1,16,15,3
225,1,1,28.5,17,5
226,1,1,15,10.5,2
228,1,1,23.5,12.5,2
229,1,1,30.5,13.5,4
230,1,1,26.5,17,3
232,1,1,27,15,3
233,1,1,21.5,16,2
235,1,1,,15,4
237,1,1,21.5,15.5,2
238,1,1,37.5,12,5
239,1,1,11.5,12.5,5
243,1,1,21,15.5,6
244,1,1,28,17,5
247,1,1,24,15.5,2
248,1,1,23,16,2
249,1,1,19,15,3
250,1,1,7,10,5
253,1,1,14,16,3
257,1,1,,,
258,1,1,32,18,3
260,1,1,22,16,3
262,1,1,14.25,17.5,3
264,1,1,16.5,16,3
265,1,1,0,,
267,1,1,47.5,16,3
269,1,1,15.5,11,4
273,1,1,10.5,10,4
275,1,1,7,10.5,4
277,1,1,11,10,3
278,1,1,8.5,11,5
282,1,1,0,,
284,1,1,15,16,4
285,1,1,13.5,16,4
286,1,1,12.5,11.5,2
287,1,1,12.5,16,5
288,1,1,12.5,16,5
289,1,1,10,15,6
290,1,1,13.5,11.5,2
291,1,1,16,11.5,2
292,1,1,23.5,16,2
295,1,1,,18,3
297,1,1,34,16,3
303,1,1,32.5,16,5
304,1,1,21.5,24,5
305,1,1,20,18,5
307,1,1,43.5,24,5
310,1,1,17.5,11.5,2
312,1,1,7,10,3
313,1,1,,15,3
314,1,1,22,16,3
316,1,1,22,16,
317,1,1,7,10.5,2
318,1,1,14,11.5,3
319,1,1,27,11.5,4
322,1,1,18.5,15,6
325,1,1,11.5,15,6
333,1,1,16,15,3
336,1,1,25,16,3
337,1,1,30.5,17,
339,1,1,11.5,16,3
340,1,1,25.5,16,5
341,1,1,9.5,11,4
343,1,1,11.5,12,4
346,1,1,12,11,
348,1,1,0,,
350,1,1,17,17,5
351,1,1,24,16,4
352,1,1,,,
353,1,1,,16,3
355,1,1,13.5,11.5,2
359,1,1,17,16,3
360,1,1,28,16,3
361,1,1,21.5,16,3
362,1,1,30,12.5,5
363,1,1,19.5,12.5,4
364,1,1,20,12.5,5
366,1,1,14.5,11.5,4
368,1,1,14.5,11.5,2
369,1,1,0,,
370,1,1,31.5,16,3
376,1,1,11.5,14,3
377,1,1,20,14,3
379,1,1,34,16,3
380,1,1,25,16,3
383,1,1,10,16,2
384,1,1,18,16,3
385,1,1,25,17,3
386,1,1,23,17,4
391,1,1,17.5,10,4
393,1,1,23,11,3
396,1,1,26,16,5
397,1,1,16.5,17,4
398,1,1,35.5,17,5
399,1,1,31,16,7
400,1,1,23,16,5
401,1,1,22.5,16,6
402,1,1,21.5,15,4
405,1,1,12,16,6
410,1,1,20.5,16,4
411,1,1,25,16,5
412,1,1,8.5,11,5
413,1,1,13,17,4
414,1,1,21.5,16,4
415,1,1,23,16,4
417,1,1,25.5,16,3
418,1,1,21.5,16,3
419,1,1,9.5,11,4
421,1,1,36.5,13,4
422,1,1,16,11,4
423,1,1,23.75,11,3
424,1,1,17.5,14,5
426,1,1,20.5,18,6
427,1,1,20.5,12.5,2
428,1,1,25,12.5,2
